"","ID","gpa","cm1relf","cm1marf","cm1cohf","m1f8","m1f9","mx1j2","cm1hhinc","cm1hhimp","cm1inpov","cm1povca","m1e3a","cm2mint","cm2fdiff","cm2samp","cm1citsm","cm1bsex","m1a10","cm1fint","m1b0","cm1numb","innatsm","incitysm","m1a4","cf1fint","challengeID","cm1relf.1","cm1marf.1","cm1cohf.1","m1e3a.1","cm1numb.1","m1b0.1","m1f8.1","m1f9.1","mx1j2.1","cf1fint.1","cm2mint.1","cm2fdiff.1","cm2samp.1","cm1hhinc.1","cm1hhimp.1","cm1inpov.1","cm1povca.1","challengeID.1","cm1citsm.1","innatsm.1","m1a10.1","cm1fint.1","cm1bsex.1","m1a4.1","incitysm.1","cm1relf.2","cm1marf.2","cm1bsex.2","cm1numb.2","m1b0.2","cm1hhinc.2","cm1hhimp.2","cm1inpov.2","cm1povca.2","m1f8.2","m1f9.2","mx1j2.2","cf1fint.2","cm2mint.2","cm2fdiff.2","cm2samp.2","cm1cohf.2","m1e3a.2","challengeID.2","cm1citsm.2","m1a4.2","incitysm.2","m1a10.2","cm1fint.2","innatsm.2","incitysm.3","m1a4.3","m1a10.3","cm1bsex.3","cm1numb.3","m1b0.3","challengeID.3","cm1relf.3","cm1marf.3","cm1cohf.3","innatsm.3","m1e3a.3","cm1citsm.3","cm1fint.3","m1f8.3","m1f9.3"
"1095",2174,2.5,3,0,0,-2,-2,-5,0,4,2.02983707767414,2,1,1,0,-7,1,2,2,1,2,1,1,1,2,1,1095,3,0,0,1,1,2,-2,-2,-5,1,1,0,-7,0,4,2.02983707767414,2,1095,1,1,2,1,2,2,1,3,0,2,1,2,0,4,2.02983707767414,2,-2,-2,-5,1,1,0,-7,0,1,1095,1,2,1,2,1,1,1,2,2,2,1,2,1095,3,0,0,1,1,1,1,-2,-2
"1096",2175,2.5,3,0,0,-2,1,-5,12744.4437421347,4,1.44799249873928,3,2,1,0,-7,1,1,2,0,2,1,0,1,2,0,1096,3,0,0,2,1,2,-2,1,-5,0,1,0,-7,12744.4437421347,4,1.44799249873928,3,1096,1,0,2,0,1,2,1,3,0,1,1,2,12744.4437421347,4,1.44799249873928,3,-2,1,-5,0,1,0,-7,0,2,1096,1,2,1,2,0,0,1,2,2,1,1,2,1096,3,0,0,0,2,1,0,-2,1
"1097",2177,3.75,2,0,1,-2,1,-5,39254.5231250415,4,2.37246318029273,5,2,1,0,-7,1,2,2,1,2,1,1,1,2,1,1097,2,0,1,2,1,2,-2,1,-5,1,1,0,-7,39254.5231250415,4,2.37246318029273,5,1097,1,1,2,1,2,2,1,2,0,2,1,2,39254.5231250415,4,2.37246318029273,5,-2,1,-5,1,1,0,-7,1,2,1097,1,2,1,2,1,1,1,2,2,2,1,2,1097,2,0,1,1,2,1,1,-2,1
"1098",2180,3.75,3,0,0,2,1,-5,12890.6357305028,6,1.033235753477,3,1,1,0,-7,1,1,2,1,2,1,1,1,2,1,1098,3,0,0,1,1,2,2,1,-5,1,1,0,-7,12890.6357305028,6,1.033235753477,3,1098,1,1,2,1,1,2,1,3,0,1,1,2,12890.6357305028,6,1.033235753477,3,2,1,-5,1,1,0,-7,0,1,1098,1,2,1,2,1,1,1,2,2,1,1,2,1098,3,0,0,1,1,1,1,2,1
"1100",2182,2,4,0,0,2,1,-5,11918.6936114216,4,0,1,1,1,0,-7,1,1,2,0,2,1,0,1,2,0,1100,4,0,0,1,1,2,2,1,-5,0,1,0,-7,11918.6936114216,4,0,1,1100,1,0,2,0,1,2,1,4,0,1,1,2,11918.6936114216,4,0,1,2,1,-5,0,1,0,-7,0,1,1100,1,2,1,2,0,0,1,2,2,1,1,2,1100,4,0,0,0,1,1,0,2,1
"1102",2185,3,2,0,1,2,-2,-5,14323.1629028746,4,0.9342750867387,1,1,0,0,5,1,2,2,1,2,1,1,1,2,1,1102,2,0,1,1,1,2,2,-2,-5,1,0,0,5,14323.1629028746,4,0.9342750867387,1,1102,1,1,2,1,2,2,1,2,0,2,1,2,14323.1629028746,4,0.9342750867387,1,2,-2,-5,1,0,0,5,1,1,1102,1,2,1,2,1,1,1,2,2,2,1,2,1102,2,0,1,1,1,1,1,2,-2
"1103",2186,1.75,2,0,1,-2,-2,-5,18259.6345750926,4,1.42166237778386,4,1,1,0,-7,1,2,2,1,2,1,1,1,2,1,1103,2,0,1,1,1,2,-2,-2,-5,1,1,0,-7,18259.6345750926,4,1.42166237778386,4,1103,1,1,2,1,2,2,1,2,0,2,1,2,18259.6345750926,4,1.42166237778386,4,-2,-2,-5,1,1,0,-7,1,1,1103,1,2,1,2,1,1,1,2,2,2,1,2,1103,2,0,1,1,1,1,1,-2,-2
"1104",2189,3.5,3,0,0,1,1,-5,36374.3684276042,4,4.40205269441663,5,1,0,0,6,1,2,2,0,2,1,0,1,2,0,1104,3,0,0,1,1,2,1,1,-5,0,0,0,6,36374.3684276042,4,4.40205269441663,5,1104,1,0,2,0,2,2,1,3,0,2,1,2,36374.3684276042,4,4.40205269441663,5,1,1,-5,0,0,0,6,0,1,1104,1,2,1,2,0,0,1,2,2,2,1,2,1104,3,0,0,0,1,1,0,1,1
"1105",2190,1.75,1,1,0,1,1,-5,9901.53550882075,4,1.03561593047136,2,1,1,0,-7,1,2,1,1,2,1,1,1,1,1,1105,1,1,0,1,1,2,1,1,-5,1,1,0,-7,9901.53550882075,4,1.03561593047136,2,1105,1,1,1,1,2,1,1,1,1,2,1,2,9901.53550882075,4,1.03561593047136,2,1,1,-5,1,1,0,-7,0,1,1105,1,1,1,1,1,1,1,1,1,2,1,2,1105,1,1,0,1,1,1,1,1,1
"1106",2193,3.25,2,0,1,2,2,-5,48578.5059136072,4,3.14495963307021,5,2,1,0,-7,1,2,2,1,2,1,0,1,2,1,1106,2,0,1,2,1,2,2,2,-5,1,1,0,-7,48578.5059136072,4,3.14495963307021,5,1106,1,0,2,1,2,2,1,2,0,2,1,2,48578.5059136072,4,3.14495963307021,5,2,2,-5,1,1,0,-7,1,2,1106,1,2,1,2,1,0,1,2,2,2,1,2,1106,2,0,1,0,2,1,1,2,2
"1110",2197,1.75,5,0,0,-2,-2,-5,0,4,0.788452444443943,3,1,1,0,-7,1,1,2,0,2,1,1,1,2,0,1110,5,0,0,1,1,2,-2,-2,-5,0,1,0,-7,0,4,0.788452444443943,3,1110,1,1,2,0,1,2,1,5,0,1,1,2,0,4,0.788452444443943,3,-2,-2,-5,0,1,0,-7,0,1,1110,1,2,1,2,0,1,1,2,2,1,1,2,1110,5,0,0,1,1,1,0,-2,-2
"1111",2200,3.75,2,0,1,-2,1,-5,46464.0943666344,4,1.65579763048174,2,1,1,0,-7,1,1,2,1,2,1,0,1,2,1,1111,2,0,1,1,1,2,-2,1,-5,1,1,0,-7,46464.0943666344,4,1.65579763048174,2,1111,1,0,2,1,1,2,1,2,0,1,1,2,46464.0943666344,4,1.65579763048174,2,-2,1,-5,1,1,0,-7,1,1,1111,1,2,1,2,1,0,1,2,2,1,1,2,1111,2,0,1,0,1,1,1,-2,1
"1112",2203,3,2,0,1,1,1,-5,109631.57806312,4,4.27088578156616,5,1,1,0,-7,1,2,2,1,2,1,1,1,2,1,1112,2,0,1,1,1,2,1,1,-5,1,1,0,-7,109631.57806312,4,4.27088578156616,5,1112,1,1,2,1,2,2,1,2,0,2,1,2,109631.57806312,4,4.27088578156616,5,1,1,-5,1,1,0,-7,1,1,1112,1,2,1,2,1,1,1,2,2,2,1,2,1112,2,0,1,1,1,1,1,1,1
"1114",2207,1.5,1,1,0,1,1,-5,66402.3741763726,4,4.35458955650098,5,2,1,0,-7,1,1,1,1,2,1,1,1,1,1,1114,1,1,0,2,1,2,1,1,-5,1,1,0,-7,66402.3741763726,4,4.35458955650098,5,1114,1,1,1,1,1,1,1,1,1,1,1,2,66402.3741763726,4,4.35458955650098,5,1,1,-5,1,1,0,-7,0,2,1114,1,1,1,1,1,1,1,1,1,1,1,2,1114,1,1,0,1,2,1,1,1,1
"1116",2209,4,1,1,0,2,1,-5,57293.9607546156,4,5.13006215342566,5,2,1,0,-7,1,1,1,1,2,1,1,1,1,1,1116,1,1,0,2,1,2,2,1,-5,1,1,0,-7,57293.9607546156,4,5.13006215342566,5,1116,1,1,1,1,1,1,1,1,1,1,1,2,57293.9607546156,4,5.13006215342566,5,2,1,-5,1,1,0,-7,0,2,1116,1,1,1,1,1,1,1,1,1,1,1,2,1116,1,1,0,1,2,1,1,2,1
"1117",2213,2.75,2,0,1,2,-2,-5,31080.8470425524,4,2.44942986146394,3,2,1,0,-7,1,1,2,1,2,1,1,1,2,1,1117,2,0,1,2,1,2,2,-2,-5,1,1,0,-7,31080.8470425524,4,2.44942986146394,3,1117,1,1,2,1,1,2,1,2,0,1,1,2,31080.8470425524,4,2.44942986146394,3,2,-2,-5,1,1,0,-7,1,2,1117,1,2,1,2,1,1,1,2,2,1,1,2,1117,2,0,1,1,2,1,1,2,-2
"1118",2215,1.75,1,1,0,1,1,-5,37588.6599550567,4,2.16774159304727,5,2,1,0,-7,1,1,1,1,2,1,1,1,1,1,1118,1,1,0,2,1,2,1,1,-5,1,1,0,-7,37588.6599550567,4,2.16774159304727,5,1118,1,1,1,1,1,1,1,1,1,1,1,2,37588.6599550567,4,2.16774159304727,5,1,1,-5,1,1,0,-7,0,2,1118,1,1,1,1,1,1,1,1,1,1,1,2,1118,1,1,0,1,2,1,1,1,1
"1120",2217,3,2,0,1,2,1,-5,10589.817631989,4,1.50152008955957,4,1,1,0,-7,1,1,2,1,2,1,1,1,2,1,1120,2,0,1,1,1,2,2,1,-5,1,1,0,-7,10589.817631989,4,1.50152008955957,4,1120,1,1,2,1,1,2,1,2,0,1,1,2,10589.817631989,4,1.50152008955957,4,2,1,-5,1,1,0,-7,1,1,1120,1,2,1,2,1,1,1,2,2,1,1,2,1120,2,0,1,1,1,1,1,2,1
"1123",2227,3,6,0,0,2,1,-5,17713.5765567133,4,1.23093304628169,3,1,1,0,-7,1,2,2,1,2,1,0,1,2,1,1123,6,0,0,1,1,2,2,1,-5,1,1,0,-7,17713.5765567133,4,1.23093304628169,3,1123,1,0,2,1,2,2,1,6,0,2,1,2,17713.5765567133,4,1.23093304628169,3,2,1,-5,1,1,0,-7,0,1,1123,1,2,1,2,1,0,1,2,2,2,1,2,1123,6,0,0,0,1,1,1,2,1
"1124",2228,2.5,4,0,0,-2,-2,-5,62468.9750160803,6,2.60509413797924,4,1,1,0,-7,1,2,2,0,2,1,1,1,2,0,1124,4,0,0,1,1,2,-2,-2,-5,0,1,0,-7,62468.9750160803,6,2.60509413797924,4,1124,1,1,2,0,2,2,1,4,0,2,1,2,62468.9750160803,6,2.60509413797924,4,-2,-2,-5,0,1,0,-7,0,1,1124,1,2,1,2,0,1,1,2,2,2,1,2,1124,4,0,0,1,1,1,0,-2,-2
"1126",2233,3,3,0,0,2,2,-5,18060.0237304039,6,0.602909663888732,1,1,1,0,-7,1,2,2,0,2,1,1,1,2,0,1126,3,0,0,1,1,2,2,2,-5,0,1,0,-7,18060.0237304039,6,0.602909663888732,1,1126,1,1,2,0,2,2,1,3,0,2,1,2,18060.0237304039,6,0.602909663888732,1,2,2,-5,0,1,0,-7,0,1,1126,1,2,1,2,0,1,1,2,2,2,1,2,1126,3,0,0,1,1,1,0,2,2
"1127",2234,2.75,4,0,0,2,2,-5,27291.1419478102,4,2.34540078886441,3,1,1,0,-7,1,1,2,0,2,1,1,1,2,0,1127,4,0,0,1,1,2,2,2,-5,0,1,0,-7,27291.1419478102,4,2.34540078886441,3,1127,1,1,2,0,1,2,1,4,0,1,1,2,27291.1419478102,4,2.34540078886441,3,2,2,-5,0,1,0,-7,0,1,1127,1,2,1,2,0,1,1,2,2,1,1,2,1127,4,0,0,1,1,1,0,2,2
"1128",2235,2.75,3,0,0,2,1,-5,2514.81887076865,4,0.827245990648828,2,2,1,0,-7,1,2,2,1,2,1,1,1,2,1,1128,3,0,0,2,1,2,2,1,-5,1,1,0,-7,2514.81887076865,4,0.827245990648828,2,1128,1,1,2,1,2,2,1,3,0,2,1,2,2514.81887076865,4,0.827245990648828,2,2,1,-5,1,1,0,-7,0,2,1128,1,2,1,2,1,1,1,2,2,2,1,2,1128,3,0,0,1,2,1,1,2,1
"1129",2236,3.25,1,1,0,2,-2,-5,68501.2928155712,4,2.14683748412774,4,2,1,0,-7,0,1,1,1,2,1,0,0,1,1,1129,1,1,0,2,1,2,2,-2,-5,1,1,0,-7,68501.2928155712,4,2.14683748412774,4,1129,0,0,1,1,1,1,0,1,1,1,1,2,68501.2928155712,4,2.14683748412774,4,2,-2,-5,1,1,0,-7,0,2,1129,0,1,0,1,1,0,0,1,1,1,1,2,1129,1,1,0,0,2,0,1,2,-2
"1130",2239,2.75,2,0,1,1,1,-5,17698.8758434656,4,0.907038281233369,3,1,1,0,-7,1,1,2,1,2,1,1,1,2,1,1130,2,0,1,1,1,2,1,1,-5,1,1,0,-7,17698.8758434656,4,0.907038281233369,3,1130,1,1,2,1,1,2,1,2,0,1,1,2,17698.8758434656,4,0.907038281233369,3,1,1,-5,1,1,0,-7,1,1,1130,1,2,1,2,1,1,1,2,2,1,1,2,1130,2,0,1,1,1,1,1,1,1
"1132",2248,2.75,3,0,0,-2,1,-5,845.402999976745,4,0.586393637788027,2,2,1,0,-7,1,2,2,1,2,1,0,1,2,1,1132,3,0,0,2,1,2,-2,1,-5,1,1,0,-7,845.402999976745,4,0.586393637788027,2,1132,1,0,2,1,2,2,1,3,0,2,1,2,845.402999976745,4,0.586393637788027,2,-2,1,-5,1,1,0,-7,0,2,1132,1,2,1,2,1,0,1,2,2,2,1,2,1132,3,0,0,0,2,1,1,-2,1
"1133",2249,3.5,2,0,1,-2,-2,-5,16682.3366495504,4,0.587858886480455,3,2,1,0,-7,1,1,2,1,2,1,1,1,2,1,1133,2,0,1,2,1,2,-2,-2,-5,1,1,0,-7,16682.3366495504,4,0.587858886480455,3,1133,1,1,2,1,1,2,1,2,0,1,1,2,16682.3366495504,4,0.587858886480455,3,-2,-2,-5,1,1,0,-7,1,2,1133,1,2,1,2,1,1,1,2,2,1,1,2,1133,2,0,1,1,2,1,1,-2,-2
"1139",2260,2.75,3,0,0,-2,-2,-5,6757.82960915958,6,0.775336663938208,2,1,1,0,-7,1,1,2,1,2,1,1,1,2,1,1139,3,0,0,1,1,2,-2,-2,-5,1,1,0,-7,6757.82960915958,6,0.775336663938208,2,1139,1,1,2,1,1,2,1,3,0,1,1,2,6757.82960915958,6,0.775336663938208,2,-2,-2,-5,1,1,0,-7,0,1,1139,1,2,1,2,1,1,1,2,2,1,1,2,1139,3,0,0,1,1,1,1,-2,-2
"1143",2265,2.5,3,0,0,2,2,-5,25632.4876716332,4,2.94624276494511,4,2,1,0,-7,1,1,2,1,2,1,0,1,2,1,1143,3,0,0,2,1,2,2,2,-5,1,1,0,-7,25632.4876716332,4,2.94624276494511,4,1143,1,0,2,1,1,2,1,3,0,1,1,2,25632.4876716332,4,2.94624276494511,4,2,2,-5,1,1,0,-7,0,2,1143,1,2,1,2,1,0,1,2,2,1,1,2,1143,3,0,0,0,2,1,1,2,2
"1144",2266,3.75,2,0,1,2,2,-5,53888.0171076103,4,3.7081319604741,5,2,1,0,-7,1,1,2,1,2,1,1,1,2,1,1144,2,0,1,2,1,2,2,2,-5,1,1,0,-7,53888.0171076103,4,3.7081319604741,5,1144,1,1,2,1,1,2,1,2,0,1,1,2,53888.0171076103,4,3.7081319604741,5,2,2,-5,1,1,0,-7,1,2,1144,1,2,1,2,1,1,1,2,2,1,1,2,1144,2,0,1,1,2,1,1,2,2
"1147",2273,3,3,0,0,1,1,-5,32256.6070126109,4,1.17695659280236,4,2,1,0,-7,1,1,2,1,2,1,1,1,2,1,1147,3,0,0,2,1,2,1,1,-5,1,1,0,-7,32256.6070126109,4,1.17695659280236,4,1147,1,1,2,1,1,2,1,3,0,1,1,2,32256.6070126109,4,1.17695659280236,4,1,1,-5,1,1,0,-7,0,2,1147,1,2,1,2,1,1,1,2,2,1,1,2,1147,3,0,0,1,2,1,1,1,1
"1148",2274,4,6,0,0,2,-2,-5,51083.8894624462,4,6.46029107932482,5,1,0,0,5,1,2,2,0,2,1,0,1,2,0,1148,6,0,0,1,1,2,2,-2,-5,0,0,0,5,51083.8894624462,4,6.46029107932482,5,1148,1,0,2,0,2,2,1,6,0,2,1,2,51083.8894624462,4,6.46029107932482,5,2,-2,-5,0,0,0,5,0,1,1148,1,2,1,2,0,0,1,2,2,2,1,2,1148,6,0,0,0,1,1,0,2,-2
"1153",2289,2,2,0,1,-2,1,-5,1325.47338657016,4,0.599533468447319,1,2,0,0,7,1,1,2,0,2,1,0,1,2,0,1153,2,0,1,2,1,2,-2,1,-5,0,0,0,7,1325.47338657016,4,0.599533468447319,1,1153,1,0,2,0,1,2,1,2,0,1,1,2,1325.47338657016,4,0.599533468447319,1,-2,1,-5,0,0,0,7,1,2,1153,1,2,1,2,0,0,1,2,2,1,1,2,1153,2,0,1,0,2,1,0,-2,1
"1156",2294,4,1,1,0,1,1,-5,44921.982850769,4,4.52109493910037,5,2,1,0,-7,1,2,1,1,2,1,1,1,1,1,1156,1,1,0,2,1,2,1,1,-5,1,1,0,-7,44921.982850769,4,4.52109493910037,5,1156,1,1,1,1,2,1,1,1,1,2,1,2,44921.982850769,4,4.52109493910037,5,1,1,-5,1,1,0,-7,0,2,1156,1,1,1,1,1,1,1,1,1,2,1,2,1156,1,1,0,1,2,1,1,1,1
"1160",2298,2.5,2,0,1,-2,-2,-5,66527.9859203862,4,3.45451286175222,5,2,1,0,-7,1,2,2,1,2,1,1,1,2,1,1160,2,0,1,2,1,2,-2,-2,-5,1,1,0,-7,66527.9859203862,4,3.45451286175222,5,1160,1,1,2,1,2,2,1,2,0,2,1,2,66527.9859203862,4,3.45451286175222,5,-2,-2,-5,1,1,0,-7,1,2,1160,1,2,1,2,1,1,1,2,2,2,1,2,1160,2,0,1,1,2,1,1,-2,-2
"1162",2302,2.25,2,0,1,2,1,-5,21043.9701302992,4,0.602715541046853,3,2,1,0,-7,1,1,2,1,2,1,1,1,2,1,1162,2,0,1,2,1,2,2,1,-5,1,1,0,-7,21043.9701302992,4,0.602715541046853,3,1162,1,1,2,1,1,2,1,2,0,1,1,2,21043.9701302992,4,0.602715541046853,3,2,1,-5,1,1,0,-7,1,2,1162,1,2,1,2,1,1,1,2,2,1,1,2,1162,2,0,1,1,2,1,1,2,1
"1163",2305,4,2,0,1,1,1,-5,5662.47641836182,2,0.164890627212022,2,2,0,0,7,1,2,2,1,2,1,1,1,2,1,1163,2,0,1,2,1,2,1,1,-5,1,0,0,7,5662.47641836182,2,0.164890627212022,2,1163,1,1,2,1,2,2,1,2,0,2,1,2,5662.47641836182,2,0.164890627212022,2,1,1,-5,1,0,0,7,1,2,1163,1,2,1,2,1,1,1,2,2,2,1,2,1163,2,0,1,1,2,1,1,1,1
"1166",2310,4,1,1,0,-2,1,-5,34538.7496973343,3,3.4702145005907,5,2,1,0,-7,1,1,1,1,2,1,1,1,1,1,1166,1,1,0,2,1,2,-2,1,-5,1,1,0,-7,34538.7496973343,3,3.4702145005907,5,1166,1,1,1,1,1,1,1,1,1,1,1,2,34538.7496973343,3,3.4702145005907,5,-2,1,-5,1,1,0,-7,0,2,1166,1,1,1,1,1,1,1,1,1,1,1,2,1166,1,1,0,1,2,1,1,-2,1
"1169",2317,2.25,2,0,1,1,1,-5,13525.7035894495,4,0.668679059900997,2,2,1,0,-7,1,1,2,1,2,1,1,1,2,1,1169,2,0,1,2,1,2,1,1,-5,1,1,0,-7,13525.7035894495,4,0.668679059900997,2,1169,1,1,2,1,1,2,1,2,0,1,1,2,13525.7035894495,4,0.668679059900997,2,1,1,-5,1,1,0,-7,1,2,1169,1,2,1,2,1,1,1,2,2,1,1,2,1169,2,0,1,1,2,1,1,1,1
"1170",2321,2.75,3,0,0,1,1,-5,17504.6849005979,6,1.03151496279711,3,2,1,0,-7,1,1,2,1,2,1,1,1,2,1,1170,3,0,0,2,1,2,1,1,-5,1,1,0,-7,17504.6849005979,6,1.03151496279711,3,1170,1,1,2,1,1,2,1,3,0,1,1,2,17504.6849005979,6,1.03151496279711,3,1,1,-5,1,1,0,-7,0,2,1170,1,2,1,2,1,1,1,2,2,1,1,2,1170,3,0,0,1,2,1,1,1,1
"1171",2322,2.25,2,0,1,-2,-2,-5,23923.5165704245,4,1.77676313553676,4,2,0,0,7,1,1,2,1,2,1,1,1,2,1,1171,2,0,1,2,1,2,-2,-2,-5,1,0,0,7,23923.5165704245,4,1.77676313553676,4,1171,1,1,2,1,1,2,1,2,0,1,1,2,23923.5165704245,4,1.77676313553676,4,-2,-2,-5,1,0,0,7,1,2,1171,1,2,1,2,1,1,1,2,2,1,1,2,1171,2,0,1,1,2,1,1,-2,-2
"1172",2324,2,1,1,0,1,-2,-5,133609.693582109,2,5.58610251293278,5,2,1,0,-7,1,2,1,1,2,1,1,1,1,1,1172,1,1,0,2,1,2,1,-2,-5,1,1,0,-7,133609.693582109,2,5.58610251293278,5,1172,1,1,1,1,2,1,1,1,1,2,1,2,133609.693582109,2,5.58610251293278,5,1,-2,-5,1,1,0,-7,0,2,1172,1,1,1,1,1,1,1,1,1,2,1,2,1172,1,1,0,1,2,1,1,1,-2
"1173",2325,3.25,5,0,0,-2,-2,-5,5364.10366778203,4,0.822851779963827,1,2,1,0,-7,1,2,2,0,2,1,0,1,2,0,1173,5,0,0,2,1,2,-2,-2,-5,0,1,0,-7,5364.10366778203,4,0.822851779963827,1,1173,1,0,2,0,2,2,1,5,0,2,1,2,5364.10366778203,4,0.822851779963827,1,-2,-2,-5,0,1,0,-7,0,2,1173,1,2,1,2,0,0,1,2,2,2,1,2,1173,5,0,0,0,2,1,0,-2,-2
"1174",2326,4,2,0,1,2,2,-5,66222.2463704624,4,6.19327623151793,5,2,0,0,5,1,1,2,0,2,1,1,1,2,0,1174,2,0,1,2,1,2,2,2,-5,0,0,0,5,66222.2463704624,4,6.19327623151793,5,1174,1,1,2,0,1,2,1,2,0,1,1,2,66222.2463704624,4,6.19327623151793,5,2,2,-5,0,0,0,5,1,2,1174,1,2,1,2,0,1,1,2,2,1,1,2,1174,2,0,1,1,2,1,0,2,2
"1178",2333,1,3,0,0,-2,1,-5,2926.44237555542,4,1.41509367883704,2,1,1,0,-7,1,1,2,1,2,1,1,1,2,1,1178,3,0,0,1,1,2,-2,1,-5,1,1,0,-7,2926.44237555542,4,1.41509367883704,2,1178,1,1,2,1,1,2,1,3,0,1,1,2,2926.44237555542,4,1.41509367883704,2,-2,1,-5,1,1,0,-7,0,1,1178,1,2,1,2,1,1,1,2,2,1,1,2,1178,3,0,0,1,1,1,1,-2,1
"1180",2336,2.75,1,1,0,2,2,-5,51896.0677665856,3,3.47817459738557,4,2,1,0,-7,1,1,1,1,2,1,1,1,1,1,1180,1,1,0,2,1,2,2,2,-5,1,1,0,-7,51896.0677665856,3,3.47817459738557,4,1180,1,1,1,1,1,1,1,1,1,1,1,2,51896.0677665856,3,3.47817459738557,4,2,2,-5,1,1,0,-7,0,2,1180,1,1,1,1,1,1,1,1,1,1,1,2,1180,1,1,0,1,2,1,1,2,2
"1182",2339,2,3,0,0,-2,-2,-5,3238.06693581536,4,0.829709510846235,1,1,1,0,-7,1,1,2,1,2,1,0,1,2,1,1182,3,0,0,1,1,2,-2,-2,-5,1,1,0,-7,3238.06693581536,4,0.829709510846235,1,1182,1,0,2,1,1,2,1,3,0,1,1,2,3238.06693581536,4,0.829709510846235,1,-2,-2,-5,1,1,0,-7,0,1,1182,1,2,1,2,1,0,1,2,2,1,1,2,1182,3,0,0,0,1,1,1,-2,-2
"1186",2346,2.25,1,1,0,-2,-2,-5,126245.044353116,4,8.81521176278627,5,2,1,0,-7,1,2,1,1,2,1,1,1,1,1,1186,1,1,0,2,1,2,-2,-2,-5,1,1,0,-7,126245.044353116,4,8.81521176278627,5,1186,1,1,1,1,2,1,1,1,1,2,1,2,126245.044353116,4,8.81521176278627,5,-2,-2,-5,1,1,0,-7,0,2,1186,1,1,1,1,1,1,1,1,1,2,1,2,1186,1,1,0,1,2,1,1,-2,-2
"1187",2348,2,1,1,0,1,-2,-5,123625.246175205,4,7.98540488171372,5,2,1,0,-7,1,1,1,1,2,1,1,1,1,1,1187,1,1,0,2,1,2,1,-2,-5,1,1,0,-7,123625.246175205,4,7.98540488171372,5,1187,1,1,1,1,1,1,1,1,1,1,1,2,123625.246175205,4,7.98540488171372,5,1,-2,-5,1,1,0,-7,0,2,1187,1,1,1,1,1,1,1,1,1,1,1,2,1187,1,1,0,1,2,1,1,1,-2
"1188",2350,2.5,2,0,1,1,-2,-5,20934.2553549938,2,1.62202891690349,3,1,1,0,-7,1,1,2,1,2,1,0,1,2,1,1188,2,0,1,1,1,2,1,-2,-5,1,1,0,-7,20934.2553549938,2,1.62202891690349,3,1188,1,0,2,1,1,2,1,2,0,1,1,2,20934.2553549938,2,1.62202891690349,3,1,-2,-5,1,1,0,-7,1,1,1188,1,2,1,2,1,0,1,2,2,1,1,2,1188,2,0,1,0,1,1,1,1,-2
"1189",2351,2.25,2,0,1,2,2,-5,19142.4329078762,4,1.56591317842712,3,1,1,0,-7,1,2,2,1,2,1,1,1,2,1,1189,2,0,1,1,1,2,2,2,-5,1,1,0,-7,19142.4329078762,4,1.56591317842712,3,1189,1,1,2,1,2,2,1,2,0,2,1,2,19142.4329078762,4,1.56591317842712,3,2,2,-5,1,1,0,-7,1,1,1189,1,2,1,2,1,1,1,2,2,2,1,2,1189,2,0,1,1,1,1,1,2,2
"1194",2357,3,3,0,0,-2,-2,-5,35472.2304787902,6,1.65657584385253,4,1,1,0,-7,1,1,2,1,2,1,1,1,2,1,1194,3,0,0,1,1,2,-2,-2,-5,1,1,0,-7,35472.2304787902,6,1.65657584385253,4,1194,1,1,2,1,1,2,1,3,0,1,1,2,35472.2304787902,6,1.65657584385253,4,-2,-2,-5,1,1,0,-7,0,1,1194,1,2,1,2,1,1,1,2,2,1,1,2,1194,3,0,0,1,1,1,1,-2,-2
"1195",2358,1.75,2,0,1,-2,-2,-5,24994.4853190324,4,3.06502988668195,4,2,0,0,5,1,1,2,1,2,1,0,1,2,1,1195,2,0,1,2,1,2,-2,-2,-5,1,0,0,5,24994.4853190324,4,3.06502988668195,4,1195,1,0,2,1,1,2,1,2,0,1,1,2,24994.4853190324,4,3.06502988668195,4,-2,-2,-5,1,0,0,5,1,2,1195,1,2,1,2,1,0,1,2,2,1,1,2,1195,2,0,1,0,2,1,1,-2,-2
"1196",2361,3,2,0,1,2,2,-5,33954.1247283161,4,2.42124844917026,4,2,0,0,5,1,1,2,1,2,1,1,1,2,1,1196,2,0,1,2,1,2,2,2,-5,1,0,0,5,33954.1247283161,4,2.42124844917026,4,1196,1,1,2,1,1,2,1,2,0,1,1,2,33954.1247283161,4,2.42124844917026,4,2,2,-5,1,0,0,5,1,2,1196,1,2,1,2,1,1,1,2,2,1,1,2,1196,2,0,1,1,2,1,1,2,2
"1197",2362,2.75,3,0,0,1,1,-5,42622.0302131464,4,3.23302118110267,5,1,1,0,-7,1,1,2,1,2,1,1,1,2,1,1197,3,0,0,1,1,2,1,1,-5,1,1,0,-7,42622.0302131464,4,3.23302118110267,5,1197,1,1,2,1,1,2,1,3,0,1,1,2,42622.0302131464,4,3.23302118110267,5,1,1,-5,1,1,0,-7,0,1,1197,1,2,1,2,1,1,1,2,2,1,1,2,1197,3,0,0,1,1,1,1,1,1
