"","Code","Description"
"475","p5i42b","I42B. Frequency partner spanked/slapped child in past year"
"476","p5i42c","I42C. Frequency partner called child dumb or lazy in past year"
"477","p5i43","I43. Number of child's close friends partner knows by sight, first and last name"
"478","p5i44","I44. Partner has talked to doctor about child in last year"
"479","p5i45","I45. Partner has talked to teachers in last year about how child is doing"
"480","p5i46","I46. Partner has taken child to school, a program, or camp in past month"
"481","p5i47a","I47A. Amount of influence partner has on child's school"
"482","p5i47b","I47B. Amount of influence partner has on child's religion"
"483","p5i47c","I47C. Amount of influence partner has on child's health care"
"484","p5j1","J1. Child is a picky eater"
"485","p5j2a","J2A. Number of servings of milk child has on typical day"
"486","p5j2b","J2B. Number of servings of other dairy products child has on typical day"
"487","p5j2c","J2C. Number of servings child has of fruit juice on typical day"
"488","p5j2d","J2D. Number of servings of diet soda child has on typical day"
"489","p5j2e","J2E. Number of servings of regular soda child has on typical day"
"490","p5j2f","J2F. Number of servings of fresh fruit or vegetables child has on typical day"
"491","p5j2g","J2G. Number of servings of candy or sweets child has on typical day"
"492","p5j2h","J2H. Number of servings of frozen or canned vegetables child has on typical day"
"493","p5j2i","J2I. Number of servings of snack foods or chips child has on typical day"
"494","p5j2j","J2J. Number of servings of starches (bread, cereal) child has on typical day"
"495","p5j3","J3. Times per week child eats a meal from a 'fast food' restaurant"
"496","p5j4a","J4A. Child receives free or reduced price breakfast"
"497","p5j4b","J4B. Child receives free or reduced price lunch"
"498","p5j4c","J4C. Child receives free or reduced priced snacks or dinner"
"499","p5j6","J6. Other children get free or reduced priced meals"
"500","p5j7","J7. Amount paid for groceries or food used at home in last month"
"501","p5j7a","J7A. Time frame for grocery expenses"
"502","p5j7b","J7B. Range of money spent on groceries"
"503","p5j8","J8. Any take out or food delivered in last month that is not included in amount"
"504","p5j9","J9. Amount paid for take out food or delivery in last month"
"505","p5j9a","J9A. Time frame for take out food and delivery expenses"
"506","p5j9b","J9B. Range of money spent on take out food or delivery"
"507","p5j10","J10. Amount of money spent eating out in last month"
"508","p5j10a","J10A. Time frame for eating out expenses"
"509","p5j10b","J10B. Range of money spent on eating out in last month"
"510","p5j11","J11. Where you shop for groceries most"
"511","p5j12","J12. Type of transportation used to get to grocery store"
"512","p5j13","J13. Time it takes to get to grocery store"
"513","p5k1a","K1A. Taking care of children is harder than I thought it would be"
"514","p5k1b","K1B. I feel trapped by my responsibilities as a parent"
"515","p5k1c","K1C. I find taking care of my child is much more work than pleasure"
"516","p5k1d","K1D. I often feel tired, worn out, or exhausted from raising a family"
"517","p5k1e","K1E. Rating of self as Caregiver/Parent"
"518","p5k1f","K1F. Rating of closeness felt with child"
"519","p5k1g","K1G. Rating of how well share ideas/talk with child"
"520","p5l1","L1. Grade in which child is currently/was last enrolled in school"
"521","p5l1a","L1A. Type of school child attended last school year"
"522","p5l2","L2. Child's school is within five miles of your home"
"523","p5l3a","L3A. Attended an open house or back-to-school night in this/last school year"
"524","p5l3b","L3B. Attended a meeting of a PTA, PTO, or parent-teacher organization in this/la"
"525","p5l3c","L3C. Gone to a parent-teacher conference with child’s teacher in this/last schoo"
"526","p5l3d","L3D. Attended a school or class event in which child participated in this/last s"
"527","p5l3e","L3E. Attended a school or class event in which child did not participate in this"
"528","p5l3f","L3F. Volunteered at the school or served on a committee in this/last school year"
"529","p5l3g","L3G. Met with a school counselor in this/last school year"
"530","p5l3h","L3H. Visited child's classroom in this/last school year"
"531","p5l3i","L3I. Had a conference with child’s school principal in this/last school year"
"532","p5l3j","L3J. Gone to a workshop or meeting about health, nutrition, or safety issues in"
"533","p5l4a","L4A. Talk in person with any parents of children in class"
"534","p5l4b","L4B. Number of parents you talk with in person"
"535","p5l4c","L4C. Talk on the phone with any parents of children in class"
"536","p5l4d","L4D. Number of parents you talk with on the phone"
"537","p5l5","L5. Number of days per week you drop off or pick up child"
"538","p5l5a","L5A. Public school regularly assigned or chosen by you"
"539","p5l5b","L5B. Is/Was this chosen public school . . . ?"
"540","p5l10","L10. Number of schools child attended since first grade"
"541","p5l11","L11. Number of times child was absent from school during school year"
"542","p5l12a","L12A. Illness or other physical problem"
"543","p5l12b","L12B. An emotional or mental condition"
"544","p5l12c","L12C. Illness in the family"
"545","p5l12d","L12D. The family moved"
"546","p5l12e","L12E. The student shifted to another school"
"547","p5l12f","L12F. A parent wanted child at home"
"548","p5l12g","L12G. Child was suspended and or expelled"
"549","p5l12h","L12H. Child skipped school"
"550","p5l12i","L12I. Specify if there is something else"
"551","p5l13a","L13A. Individual tutoring in reading or math"
"552","p5l13b","L13B. Small group program in reading or math"
"553","p5l13c","L13C. English as Second Language small group program"
"554","p5l13d","L13D. In-class English as Second Language"
"555","p5l13e","L13E. Learning a language other than English"
"556","p5l13f","L13F. Gifted and talented program"
"557","p5l13g","L13G. Individual or group counseling from a trained professional"
"558","p5l13h","L13H. Special education or related services"
"559","p5l14","L14. Child has been required by the school to attend summer school"
"560","p5l14a","L14A. Number of summers child has been required to attend summer school"
"561","p5l15","L15. Child has repeated any grades"
"562","p5l17a","L17A. Discussed behavioral or social problems with child's teacher in this/last"
"563","p5l17b","L17B. Discussed academic problems with child's teacher in this/last school year"
"564","p5l17c","L17C. Discussed tardiness or absences with child's teacher in this/last school y"
"565","p5l17d","L17D. Discussed homework not done with child's teacher in this/last school year"
"566","p5l17e","L17E. Discussed child's health or medications with child's teacher in this/last"
"567","p5l17f","L17F. Discussed which teacher your child is assigned to with child's teacher in"
"568","p5l17g","L17G. Discussed child with teacher for some other reason in this/last school yea"
"569","p5l18","L18. Who usually initiated the contact"
"570","p5l21a","L21A. Current school same as school for 1st grade"
"571","p5l23","L23. School in 1st grade public or private"
"572","p5l26","L26. Full or half day kindergarten"
"573","p5m1","M1. Number of families on block know well"
"574","p5m2a","M2A. Neighbors get involved if skipping school"
"575","p5m2b","M2B. Neighbors get involved if spray painting buildings"
"576","p5m2c","M2C. Neighbors get involved if disrespect adult"
"577","p5m2d","M2D. Neighbors get involved if fight broke out in front of house"
"578","p5m2e","M2E. Neighbors get involved if fire station budget cut"
"579","p5m3a","M3A. Amount agree people willing to help their neighbors"
"580","p5m3b","M3B. Amount agree close knit neighborhood"
"581","p5m3c","M3C. Amount agree people in neighborhood do not get along"
"582","p5m3d","M3D. Amount agree people in neighborhood do not share values"
"583","p5m3e","M3E. Amount agree gangs are problem in neighborhood"
"584","p5m4","M4. Afraid to let child go outside because of violence in neighborhood"
"585","p5m5a","M5A. In past year how often did you see person get hit, slapped, punched"
"586","p5m5b","M5B. In past year how often did you see person attacked with weapon"
"587","p5m5c","M5C. In past year how often did you see person shot"
"588","p5h3b1_1","H3B1_1. Child takes medication for ADHD"
"589","p5h3b1_2","H3B1_2. Child takes medication for hay fever or respiratory allergy"
"590","p5h3b1_3","H3B1_3. Child takes medication for food or digestive allergy"
"591","p5h3b1_4","H3B1_4. Child takes medication for eczema or skin allergy"
"592","p5h3b1_5","H3B1_5. Child takes medication for migraines"
"593","p5h3b1_6","H3B1_6. Child takes medication for seizures"
"594","p5h3b1_7","H3B1_7. Child takes medication for depression/anxiety"
"595","p5h3b1_8","H3B1_8. Child takes medication for diabetes"
"596","p5h3b1_91","H3B1_91. Child takes medication for other"
"597","p5h14b_1","H14B_1. Insurance purchased by PCG"
"598","p5h14b_2","H14B_2. Insurance purchased by other"
"599","p5h14b_3","H14B_3. Insurance through PCG's employer"
"600","p5h14b_4","H14B_4. Insurance through child's father's employer"
"601","p5h14b_5","H14B_5. Insurance through child's mother's employer"
"602","p5h14b_6","H14B_6. Insurance through employer of partner who is not bioparent"
"603","p5h14b_91","H14B_91. Insurance from other source"
"604","p5i18a_1","I18A_1. Child plays games on computer"
"605","p5i18a_2","I18A_2. Child does school work on computer"
"606","p5i18a_3","I18A_3. Child emails/IMs friends on computer"
"607","p5i18a_4","I18A_4. Child goes on internet on computer"
"608","p5l8_1","l8_1. School included Kindergarten"
"609","p5l8_2","l8_2. School included 1st grade"
"610","p5l8_3","l8_3. School included 2nd grade"
"611","p5l8_4","l8_4. School included 3rd grade"
"612","p5l8_5","l8_5. School included 4th grade"
"613","p5l8_6","l8_6. School included 5th grade"
"614","p5l8_7","l8_7. School included 6th grade"
"615","p5l8_8","l8_8. School included 7th grade"
"616","p5l8_9","l8_9. School included 8th grade"
"617","p5l8_10","l8_10. School included 9th grade"
"618","p5l8_11","l8_11. School included 10th grade"
"619","p5l8_12","l8_12. School included 11th grade"
"620","p5l8_13","l8_13. School included 12th grade"
"621","p5l15a_1","L15A_1. Child repeated kindergarten"
"622","p5l15a_2","L15A_2. Child repeated 1st grade"
"623","p5l15a_3","L15A_3. Child repeated 2nd grade"
"624","p5l15a_4","L15A_4. Child repeated 3rd grade"
"625","p5l15a_5","L15A_5. Child repeated 4th grade"
"626","p5childgen","_wrong Child's gender not coded correctly or missing in preload"
"627","p5h3b1_101","H3B1_101. Child takes medication for asthma"
"628","p5h3b1_102","H3B1_102. Child takes medication for sickle cell anemia"
"629","p5h3b1_103","H3B1_103. Child takes medication for bed wetting"
"630","p5h3b1_104","H3B1_104. Child takes medication for digestive problems"
"631","p5h3b1_105","H3B1_105. Child takes medication for dental/tooth problems"
"632","p5h3b1_106","H3B1_106. Child takes medication for ear/nose/throat problems"
"633","p5h3b1_107","H3B1_107. Child takes medication for eye problems"
"634","p5h3b1_108","H3B1_108. Child takes medication for sleep problems"
"635","p5l12_101","l12_101. Child missed school because of death in the family"
"636","p5l12_102","l12_102. Child missed school for doctor's/dentist's appointment"
"637","p5l12_103","l12_103. Child missed school because overslept or missed bus"
"638","p5l12_104","l12_104. Child missed school because caregiver unable to take child"
"639","p5l12_105","l12_105. Child missed school because of religious holiday"
"640","p5l12_106","l12_106. Child missed school because of weather"
"641","p5l12_107","l12_107. Child missed school for vacation"
"642","p5l17_101","l17_101. Discussed child being bullied with teacher in this/last school year"
"643","p5l17_102","l17_102. Discussed home/personal issues with teacher in this/last school year"
"644","p5l17_103","l17_103. Discussed school procedures and activities with teacher in this/last sc"
"645","p5l17_104","l17_104. Had routine conference with teacher in this/last school year"
"646","p5qlang","Language used for PCG SAQ"
"647","p5q1a","Q1A. Parent has explained why something child did was wrong"
"648","p5q1b","Q1B. Parent has put child in ""time out"" or sent child to room"
"649","p5q1c","Q1C. Parent shook child"
"650","p5q1d","Q1D. Parent has hit child on bottom with something like brush or other hard obje"
"651","p5q1e","Q1E. Parent has given child something else to do instead of what child was doing"
"652","p5q1f","Q1F. Parent has shouted, yelled or screamed at child"
"653","p5q1g","Q1G. Parent has spanked child on bottom with bare hand"
"654","p5q1h","Q1H. Parent has swore or cursed at child"
"655","p5q1i","Q1I. Parent has said would send child away or kick child out of the house"
"656","p5q1j","Q1J. Parent has threatened to spank or hit child but did not actually do it"
"657","p5q1k","Q1K. Parent has slapped child on hand, arm or leg"
"658","p5q1l","Q1L. Parent has taken away privileges"
"659","p5q1m","Q1M. Parent has pinched child"
"660","p5q1n","Q1N. Parent has called child dumb/lazy/some other name like that"
"661","p5q2a","Q2A. Parent had to leave child home alone even when adult was needed"
"662","p5q2b","Q2B. Parent so caught up in own problems, not able to express love to child"
"663","p5q2c","Q2C. Parent not able to make sure child got food needed"
"664","p5q2d","Q2D. Parent was not able to make sure child got to doctor or hospital when neede"
"665","p5q2e","Q2E. Parent was so drunk or high that had problem taking care of child"
"666","p5q3a","Q3A. Child acts too young for his or her age"
"667","p5q3b","Q3B. Child drinks alcohol without parents' approval"
"668","p5q3c","Q3C. Child argues a lot"
"669","p5q3d","Q3D. Child fails to finish things he or she starts"
"670","p5q3e","Q3E. Child enjoys very little"
"671","p5q3f","Q3F. Child brags or boasts"
"672","p5q3g","Q3G. Child can't concentrate, can't pay attention for long"
"673","p5q3h","Q3H. Child can't get his or her mind off certain thoughts"
"674","p5q3i","Q3I. Child can't sit still, is restless, or hyperactive"
"675","p5q3j","Q3J. Child clings to adults or too dependent"
"676","p5q3k","Q3K. Child complains of loneliness"
"677","p5q3l","Q3L. Child is confused or seems to be in a fog"
"678","p5q3m","Q3M. Child cries a lot"
"679","p5q3n","Q3N. Child is cruel to animals"
"680","p5q3o","Q3O. Child is cruel, bullies, or shows meanness to others"
"681","p5q3p","Q3P. Child day-dreams or gets lost in thoughts"
"682","p5q3q","Q3Q. Child deliberately harms self or attempts suicide"
"683","p5q3r","Q3R. Child demands a lot of attention"
"684","p5q3s","Q3S. Child destroys his or her own things"
"685","p5q3t","Q3T. Child destroys things belonging to family or others"
"686","p5q3u","Q3U. Child is disobedient at home"
"687","p5q3v","Q3V. Child is disobedient at school"
"688","p5q3w","Q3W. Child doesn't get along with other kids"
"689","p5q3x","Q3X. Child doesn't seem to feel guilty after misbehaving"
"690","p5q3y","Q3Y. Child is easily jealous"
"691","p5q3aa","Q3AA. Child breaks rules at home, school, or elsewhere"
"692","p5q3ab","Q3AB. Child fears certain animals/situations/places other than school"
"693","p5q3ac","Q3AC. Child fears going to school"
"694","p5q3ad","Q3AD. Child fears he or she might do something bad"
"695","p5q3ae","Q3AE. Child feels he or she has to be perfect"
"696","p5q3af","Q3AF. Child feels or complains that no one loves him or her"
"697","p5q3ag","Q3AG. Child feels others are out to get him or her"
"698","p5q3ah","Q3AH. Child feels worthless or inferior"
"699","p5q3ai","Q3AI. Child gets hurt a lot or is accident-prone"
"700","p5q3aj","Q3AJ. Child gets in many fights"
"701","p5q3ak","Q3AK. Child gets teased a lot"
"702","p5q3al","Q3AL. Child hangs around with others who get in trouble"
"703","p5q3am","Q3AM. Child hears sounds or voices that aren't there"
"704","p5q3an","Q3AN. Child is impulsive or acts without thinking"
"705","p5q3ao","Q3AO. Child would rather be alone than with others"
"706","p5q3ap","Q3AP. Child lies or cheats"
"707","p5q3aq","Q3AQ. Child is nervous, highstrung, or tense"
"708","p5q3ar","Q3AR. Child has nervous movements or twitches"
"709","p5q3as","Q3AS. Child has nightmares"
"710","p5q3at","Q3AT. Child is not liked by other kids"
"711","p5q3au","Q3AU. Child is constipated, doesn't have bowel movements"
"712","p5q3av","Q3AV. Child is too fearful or anxious"
"713","p5q3aw","Q3AW. Child feels dizzy or lightheaded"
"714","p5q3ax","Q3AX. Child feels too guilty"
"715","p5q3ay","Q3AY. Child overeats"
"716","p5q3az","Q3AZ. Child is overtired without good reason"
"717","p5q3ba","Q3BA. Child is overweight"
"718","p5q3bb1","Q3BB1. Child has physical problems without known medical cause: Aches or pains"
"719","p5q3bb2","Q3BB2. Child has physical problems without known medical cause: Headaches"
"720","p5q3bb3","Q3BB3. Child has physical problems without known medical cause: Nausea"
"721","p5q3bb4","Q3BB4. Child has physical problems without known medical cause: Problems with ey"
"722","p5q3bb5","Q3BB5. Child has rashes other skin problems without known medical cause"
"723","p5q3bb6","Q3BB6. Child has stomach aches or cramps without known medical cause."
"724","p5q3bb7","Q3BB7. Child has vomiting, throwing up without known medical cause."
"725","p5q3bb8","Q3BB8. Child has physical problems without known medical cause: Other"
"726","p5q3bc","Q3BC. Child physically attacks people"
"727","p5q3bd","Q3BD. Child picks nose, skin, or other parts of body"
"728","p5q3be","Q3BE. Child plays with own sex parts in public"
"729","p5q3bf","Q3BF. Child plays with own sex parts too much"
"730","p5q3bg","Q3BG. Child does poor school work"
"731","p5q3bh","Q3BH. Child is poorly coordinated or clumsy"
"732","p5q3bi","Q3BI. Child prefers being with older kids"
"733","p5q3bj","Q3BJ. Child prefers being with younger kids"
"734","p5q3bk","Q3BK. Child refuses to talk"
"735","p5q3bl","Q3BL. Child repeats certain acts over and over; has compulsions"
"736","p5q3bm","Q3BM. Child runs away from home"
"737","p5q3bn","Q3BN. Child screams a lot"
"738","p5q3bo","Q3BO. Child is secretive, keeps things to self"
"739","p5q3bp","Q3BP. Child sees things that aren't there"
"740","p5q3bq","Q3BQ. Child is self-conscious or easily embarrassed"
"741","p5q3br","Q3BR. Child sets fires"
"742","p5q3bs","Q3BS. Child has sexual problems"
"743","p5q3bt","Q3BT. Child shows off or clowns"
"744","p5q3bu","Q3BU. Child is shy or timid"
"745","p5q3bv","Q3BV. Child sleeps less than most kids"
"746","p5q3bw","Q3BW. Child is inattentive or easily distracted"
"747","p5q3bx","Q3BX. Child has a speech problem"
"748","p5q3by","Q3BY. Child stares blankly"
"749","p5q3bz","Q3BZ. Child steals at home"
"750","p5q3ca","Q3CA. Child steals outside the home"
"751","p5q3cb","Q3CB. Child stores up too many things he or she doesn't need"
"752","p5q3cd","Q3CD. Child exhibits strange behavior"
"753","p5q3ce","Q3CE. Child has strange ideas"
"754","p5q3cf","Q3CF. Child is stubborn, sullen, or irritable"
"755","p5q3cg","Q3CG. Child has sudden changes in mood or feelings"
"756","p5q3ch","Q3CH. Child sulks a lot"
"757","p5q3ci","Q3CI. Child is suspicious"
"758","p5q3cj","Q3CJ. Child swears or uses obscene language"
"759","p5q3ck","Q3CK. Child talks about killing self"
"760","p5q3cl","Q3CL. Child talks or walks in sleep"
"761","p5q3cm","Q3CM. Child talks too much"
"762","p5q3cn","Q3CN. Child teases a lot"
"763","p5q3co","Q3CO. Child has temper tantrums or a hot temper"
"764","p5q3cp","Q3CP. Child thinks about sex too much"
"765","p5q3cq","Q3CQ. Child threatens people"
"766","p5q3cr","Q3CR. Child smokes, chews, or sniffs tobacco"
"767","p5q3cs","Q3CS. Child has trouble sleeping"
"768","p5q3ct","Q3CT. Child is truant, skips school"
"769","p5q3cu","Q3CU. Child is underactive, slow moving, or lacks energy"
"770","p5q3cv","Q3CV. Child is unhappy, sad, or depressed"
"771","p5q3cw","Q3CW. Child is unusually loud"
"772","p5q3cx","Q3CX. Child uses alcohol or drugs for nonmedical purposes"
"773","p5q3cy","Q3CY. Child vandalizes"
"774","p5q3cz","Q3CZ. Child whines"
"775","p5q3da","Q3DA. Child is withdrawn, doesn't get involved with others"
"776","p5q3db","Q3DB. Child worries"
"777","p5q3dc","Q3DC. Child understands others' feelings, when happy, sad, mad"
"778","p5q3dd","Q3DD. Child is sympathetic toward other children's distress"
"779","p5q3de","Q3DE. Child is open and direct about what he or she wants"
"780","p5q3df","Q3DF. Child joins group activities without being told to"
"781","p5q3dg","Q3DG. Child makes frieds easily"
"782","p5q3dh","Q3DH. Child is self-confident in social situations"
"783","p5q3di","Q3DI. Child easily changes from one activity to another"
"784","p5q3dj","Q3DJ. Child shows interest in a variety of things"
"785","p5q3dk","Q3DK. Child starts conversations rather than waiting for others to talk first"
"786","p5q3dl","Q3DL. Child is liked by others"
"787","p5q3dm","Q3DM. Child accepts friends' ideas for playing"
"788","p5q3dn","Q3DN. Child invites others to your home"
"789","p5q3do","Q3DO. Child reports accidents to appropriate persons"
"790","p5q4a","Q4A. Respondent is biological parent"
"791","p5q4","Q4. Has Child Protective Services contacted parent with concerns"
"792","p5q5","Q5. Number of times respondent has been contacted by CPS"
"793","p5q6","Q6M. Month of most recent contact"
"794","p5q6y","Q6Y. Year most recently contacted"
"795","p5q7","Q7. Respondent was told why CPS was contacting"
"796","p5q9","Q9. Most recent contact concerned study child, another child or both"
"797","p5q11","Q11. CPS monitored case because of concerns"
"798","p5q12","Q12. Court involvement due to concerns"
"799","p5q13","Q13. One or more of these children placed outside home because of these concerns"
"800","p5q14","Q14. Where child went to live while outside of home"
"801","p5q8_1","Q8_1. CPS concerned about physical abuse"
"802","p5q8_2","Q8_2. CPS concerned about sexual abuse"
"803","p5q8_3","Q8_3. CPS concerned about neglect"
"804","p5q8_4","Q8_4. CPS concerned about other issue"
"805","p5q10_1","Q10_1. CPS concerned about actions by respondent"
"806","p5q10_2","Q10_2. CPS concerned about actions by someone else living in household"
"807","p5q10_3","Q10_3. CPS concerned about actions by someone outside the household"
"808","p5q3bb_101","Q3BB_101. Child has asthma or breathing problems without known cause"
"809","p5q3bb_102","Q3BB_102. Child has allergies without known cause"
"810","p5q3bb_103","Q3BB_103 Child has nose bleeds without known cause"
"811","p5q3bb_104","Q3BB_104. Child has learning disability without known cause"
"812","p5q8_101","Q8_101. CPS concerned about parental in-fighting"
"813","p5_intmon","Interview Month for Y9 PCG Interview"
"814","p5_intyr","Interview Year for Y9 PCG Interview"
"815","cp5pint","Constructed - Was PCG interviewed at 9-year follow-up?"
"816","hv5_6","6. Child Assessment"
"817","hv5_12","12. BIO MOTHER Saliva Sample"
"818","hv5_13","13. CHILD Saliva Sample"
"819","hv5_dspr","Digit Span percentile rank"
"820","hv5_dsss","Digit Span scaled score"
"821","hv5_dsraw","Digit Span total raw score"
"822","hv5_ppvtae","PPVT age equivalency"
"823","hv5_ppvtpr","PPVT percentile rank"
"824","hv5_ppvtra","w PPVT raw score"
"825","hv5_ppvtss","PPVT standard score"
"826","hv5_wj9ss","Woodcock Johnson Test 9 standard score"
"827","hv5_wj9pr","Woodcock Johnson Test 9 percentile rank"
"828","hv5_wj9ae","Woodcock Johnson Test 9 age equivalency"
"829","hv5_wj10ss","Woodcock Johnson Test 10 standard score"
"830","hv5_wj10pr","Woodcock Johnson Test 10 percentile rank"
"831","hv5_wj10ae","Woodcock Johnson Test 10 age equivalency"
"832","hv5_wj9raw","Woodcock Johnson Test 9 raw score"
"833","hv5_wj10ra","w Woodcock Johnson Test 10 raw score"
"834","hv5_dsae","Digit Span age equivalency"
"835","hv5_10","PCG responded positively to comment about child during Home Visit"
"836","hv5_9","10. child weight measures"
"837","hv5_9a1","10a1. child weight measurements 1"
"838","hv5_9a2","10a2. child weight measurements 2"
"839","hv5_9a3","10a3. child weight measurements 3"
"840","hv5_9b","10b. child self-reported weight"
"841","hv5_11","11. child height measures"
"842","hv5_11a1","11a1. child height measurements 1"
"843","hv5_11a2","11a2. child height measurements 2"
"844","hv5_11a3","11a3. child height measurements 3"
"845","hv5_11b","11b. child height self-reported"
"846","hv5_cwtlb","child weight(lbs.)-from mult. measures"
"847","hv5_chtcm","child height(cm.)-from mult. measures"
"848","hv5_flag_c","m flag: child's height may have been improperly measured--recoded"
"849","hv5_cwtkg","child's weight in kg"
"850","hv5_cbmi","child's bmi"
"851","hv5_agem","child's age in months"
"852","hv5_waz","Child's weight-for-age Z-score"
"853","hv5_wap","Child's weight-for-age percentile"
"854","hv5_bmiz","Child's Body Mass Index Z-score"
"855","hv5_bmip","Child's Body Mass Index percentile"
"856","hv5_haz","Child's height-for-age Z-score"
"857","hv5_hap","Child's height-for-age percentile"
"858","hv5_cflag","Flag of possible issue with anthropometric or BMI measures"
"859","hv5_8","8. BIO MOTHER weight measures"
"860","hv5_8a1","8A1. BIO MOTHER weight measurements 1"
"861","hv5_8a2","8A2. BIO MOTHER weight measurements 2"
"862","hv5_8a3","8A3. BIO MOTHER weight measurements 3"
"863","hv5_8b","8B. BIO MOTHER self-reported weight"
"864","hv5_mwtlb","BioMom's weight in lb"
"865","hv5_mhtcm","BioMom's height in cm"
"866","hv5_mmis_h","t Mother's height is missing"
"867","hv5_selfht","Mother's height is self-reported"
"868","hv5_ovscal","e Mother's weight was too large for scale to process"
"869","hv5_mwtkg","BioMom's weight in kg"
"870","hv5_mbmi","BioMom's BMI"
"871","hv5_mbmiz","BioMom BMI Z-score"
"872","hv5_selfwt","Mother's weight was self-reported"
"873","hv5_mmis_w","t Missing weight of mother"
"874","hv5_mflag","Flag: Possible issues with BioMom height/weight"
"875","hv5_intmon","Interview Month for Y9 In-Home Assessments"
"876","hv5_intyr","Interview Year for Y9 In-Home Assessments"
"877","ihostat","In-home observations status"
"878","o5a1","A1. Garbage, litter, or broken glass in the street or road"
"879","o5a2","A2. General condition of most of the buildings on the block"
"880","o5a3","A3. Graffiti on the buildings or walls of buildings on the block"
"881","o5a4","A4. Vacant, abandoned, or boarded-up buildings on the block"
"882","o5a5","A5. Abandoned vehicles on the block"
"883","o5a6a","A6A. Unlit entrance or stairway"
"884","o5a6b","A6B. Broken steps"
"885","o5a6c","A6C. Broken glass or broken toys"
"886","o5a6d","A6D. Large ditches"
"887","o5a6e","A6E. Alcohol or drug paraphernalia"
"888","o5a6f","A6F. Strewn garbage/litter"
"889","o5a7a","A7A. Peeling paint, needs paint job"
"890","o5a7b","A7B. Crumbling or damaged walls"
"891","o5a7c","A7C. Broken or cracked windows"
"892","o5a8","A8. Best describe the home or building"
"893","o5a9","A9. Condition of the street in front of the respondent's home"
"894","o5b1","B1. Interior common areas have open cracks or holes in walls/ceiling"
"895","o5b2","B2. Interior common areas contain holes in the floor"
"896","o5b3","B3. Interior common areas contain broken plaster/peeling paint"
"897","o5b4","B4. Interior common areas contain exposed wires"
"898","o5c1","C1. Interior of home has broken windows or cracked windowpanes"
"899","o5c2","C2. Interior of home has exposed wiring"
"900","o5c3","C3. Interior of home contains open cracks or holes in walls/ceiling"
"901","o5c4","C4. Interior of home contains holes in the floor"
"902","o5c5","C5. Interior of home contains broken plaster or peeling paint"
"903","o5c6","C6. Interior of home is dark"
"904","o5c7","C7. Interior of home is crowded"
"905","o5c8","C8. Amount of clutter in home"
"906","o5c9","C9. Visible rooms are dirty or not reasonably clean"
"907","o5c10","C10. The environment inside the home is unsafe for young children"
"908","o5c11","C11. Child's artwork or photographs displayed"
"909","o5c12","C12. Home overly noisy - from noise inside the home"
"910","o5c13","C13. Home overly noisy - from noise outside the home"
"911","o5c14","C14. Obvious signs of recent alcohol/non-prescription drug consumption inside ho"
"912","o5d2","D2. Child had washed or bathed"
"913","o5d3","D3. Condition of child's hair"
"914","o5d4","D4. Child's odor"
"915","o5d5","D5. Anything else problematic about child's clothing or hygiene"
"916","o5e1","E1. Parent/PCG spoke twice or more to child during visit"
"917","o5e2","E2. Parent/PCG verbally answered child's questions or requests"
"918","o5e3","E3. Parent/PCG encouraged child to contribute to conversation"
"919","o5e4","E4. Parent/PCG helped child demonstrate achievement or skill during visit"
"920","o5e5","E5. Parent/PCG used term of endearment twice during visit"
"921","o5e6","E6. Parent/PCG's voice conveyed positive feelings"
"922","o5e7","E7. Parent/PCG caressed, kissed, or cuddled child once during visit"
"923","o5e8","E8. Parent/PCG shouted at child during visit"
"924","o5e9","E9. Parent/PCG expressed overt annoyance with or hostility toward child"
"925","o5e10","E10. Parent/PCG slapped or spanked child during visit"
"926","o5e11","E11. Parent/PCG scolded, derogated or criticized child more than once during vis"
"927","o5e12","E12. Parent/PCG appeared to be calm"
"928","o5e13","E13. Parent/PCG's speech was distinct, clear, and audible"
"929","o5e14","E14. Parent/PCG initiated verbal exchanges with visitor"
"930","o5e15","E15. Parent/PCG expressed ideas freely and easily"
"931","o5e16","E16. Parent/PCG appeared to understand interviewer's questions"
"932","o5e17","E17. At least ten books were present and visible in household"
"933","o5e18a","E18A. Phone rang more than once during visit"
"934","o5e18b","E18B. Parent/PCG answered phone at least once during visit"
"935","o5e18c","E18C. People came in during visit"
"936","o5e18d","E18D. People were going out during visit"
"937","o5e18e","E18E. Children screamed or yelled during visit"
"938","o5e18f","E18F. Parent/PCG shouted at someone other than child during visit"
"939","o5e18g","E18G. Other children in household interrupted parent/PCG during visit"
"940","o5e18h","E18H. Other adults in household interrupted parent/PCG during visit"
"941","o5e18i","E18I. Someone in household turned on TV or loud music during visit"
"942","o5f1","F1. Child displayed positive emotions during visit"
"943","o5f2","F2. Child displayed negative emotions during visit"
"944","o5f3","F3. Persistence of child completing the PPVT"
"945","o5f4","F4. Cooperation of child during PPVT"
"946","o5f5","F5. Persistence of child when completing the Digit Span Test"
"947","o5f6","F6. Cooperation of child during Digit Span Test"
"948","o5f7","F7. Persistence of child when completing Woodcock Johnson Test"
"949","o5f8","F8. Cooperation of child during Woodcock Johnson Test"
"950","o5f9","F9. Child's attention when completing child interview"
"951","o5f10","F10. Child's cooperation during child interview"
"952","o5f11","F11. Child's cooperation while being weighed and measured"
"953","o5g1","G1. Interview conducted in English or Spanish"
"954","o5g2","G2. Parent/PCG's attention to interviewer"
"955","o5g3","G3. Parent/PCG's understanding of the questions"
